            White Knight to 2, 5 = -2.30137
            White Knight to 0, 5 = -2.60137
            White Knight to 5, 5 = -2.30375
            White Knight to 7, 5 = -2.56804
            White Knight to 4, 6 = -2.52161
            White Queen to 4, 6 = -3.24423
            White Queen to 7, 3 = -3.22637
            White Queen to 6, 4 = -3.1522
            White Queen to 5, 5 = -3.1728
        Black Pawn to 0, 2 = -2.12915
    White Bishop to 0, 2 = -2.12915
            White Pawn to 3, 3 = 1.09283
            White Bishop to 2, 2 = 1.31548
            White Pawn to 4, 3 = 0.0539377
            White Pawn to 3, 4 = -0.178724
            White Pawn to 2, 4 = -0.247955
            White Pawn to 2, 5 = 0.16743
